time,rgdp,cpi,aff,manu,m2
2019,7.017434882187799,0.3828892993500579,1.0,1.0000000000000009,0.39351737356111005
2018,7.07578861674985,0.3828892993500579,0.8594346829640962,0.9287531806615776,1.0
2017,6.8122456596397996,1.0,0.6516424751718883,0.7461832061068696,0.8990918132529473
2016,6.21081166789992,0.9532471108161724,0.6600458365164243,0.575699745547074,0.7744782307267799
2015,6.67928878891428,0.9115242606725074,0.48357524828113085,0.5661577608142494,0.6892327297714007
2014,5.9836546369785095,0.9003169807058291,0.5126050420168067,0.5629770992366412,0.579404851758651
2013,5.42188299130713,0.8429568863881847,0.05576776165011488,0.4770992366412212,0.5414748350183773
2012,5.2473671560487,0.7676386702341702,0.0,0.21501272264631055,0.4696369251391564
2011,6.24030274887527,0.6723944397771957,0.2139037433155071,0.0,0.4595843062624611
2010,6.42323821717497,0.5075944764876561,0.4929971988795536,0.5635425501837714,0.36594484164377494
2009,5.397897542766759,0.4350913172701537,0.4929971988795536,0.5635425501837714,0.25435224056803174
2008,5.66177120802432,0.3823509167025535,0.4929971988795536,0.5635425501837714,0.23572349802544706
2007,7.129504483963231,0.24016847983395573,0.4929971988795536,0.5635425501837714,0.1476149337383383
2006,6.97795481183347,0.19301230506392564,0.4929971988795536,0.5635425501837714,0.11960456675895081
2005,7.547247727228099,0.15395449314855736,0.4929971988795536,0.5635425501837714,0.08026338645436698
2004,7.53641061182057,0.11351033187668114,0.4929971988795536,0.5635425501837714,0.05154897490803609
2003,6.8990634917423295,0.07834506420800713,0.4929971988795536,0.5635425501837714,0.021839216512150914
2002,6.320820987710491,0.06420712465319206,0.4929971988795536,0.5635425501837714,0.0
2001,6.192893311812299,0.04800686909191032,0.4929971988795536,0.5635425501837714,0.39351737356111005
2000,6.78731640822197,0.049839744721106416,0.4929971988795536,0.5635425501837714,0.39351737356111005
1999,4.77358688057245,0.0572303722581875,0.4929971988795536,0.5635425501837714,0.39351737356111005
1998,5.7644554639503,0.040144123855445524,0.4929971988795536,0.5635425501837714,0.39351737356111005
1997,8.15208414329487,0.01203061793588378,0.4929971988795536,0.5635425501837714,0.39351737356111005
1996,9.34001749599132,0.0,0.4929971988795536,0.5635425501837714,0.39351737356111005
1995,9.54048017490108,0.3828892993500579,0.4929971988795536,0.5635425501837714,0.39351737356111005
1994,8.838980952401231,0.3828892993500579,0.4929971988795536,0.5635425501837714,0.39351737356111005
1993,8.07273065711568,0.3828892993500579,0.4929971988795536,0.5635425501837714,0.39351737356111005
1992,8.64604745955859,0.3828892993500579,0.4929971988795536,0.5635425501837714,0.39351737356111005
1991,5.96084393175285,0.3828892993500579,0.4929971988795536,0.5635425501837714,0.39351737356111005
1990,5.10091814039046,0.3828892993500579,0.4929971988795536,0.5635425501837714,0.39351737356111005
1989,7.36451289315325,0.3828892993500579,0.4929971988795536,0.5635425501837714,0.39351737356111005
1988,5.135011671015651,0.3828892993500579,0.4929971988795536,0.5635425501837714,0.39351737356111005
1987,3.58346963264538,0.3828892993500579,0.4929971988795536,0.5635425501837714,0.39351737356111005
1986,2.78929157511523,0.3828892993500579,0.4929971988795536,0.5635425501837714,0.39351737356111005
1985,3.8058556682635496,0.3828892993500579,0.4929971988795536,0.5635425501837714,0.39351737356111005
